date,kqzs,gyzjz
19-Jul,7.36,4.8
19-Jun,8.59,6.3
19-May,6.75,5
19-Apr,8.95,5.4
19-Mar,8.05,8.5
19-Feb,7.09,#N/A
19-Jan,6.36,#N/A
18-Dec,11.58,5.7
18-Nov,10.84,5.4
18-Oct,10.08,5.9
18-Sep,10.34,5.8
18-Aug,10.54,6.1
18-Jul,9.4,6
18-Jun,10.63,6
18-May,12.96,6.8
18-Apr,9.03,7
18-Mar,6.76,6
18-Feb,6.35,#N/A
18-Jan,18.49,#N/A
17-Dec,7.99,6.2
17-Nov,8.68,6.1
17-Oct,9.46,6.2
17-Sep,11.44,6.6
17-Aug,11.53,6
17-Jul,15.49,6.4
17-Jun,13.34,7.6
17-May,12.19,6.5
17-Apr,12.9,6.5
17-Mar,14.73,7.6
17-Feb,20.54,#N/A
17-Jan,8.07,#N/A
16-Dec,12.07,6
16-Nov,12.15,6.2
16-Oct,10.92,6.1
16-Sep,8.37,6.1
16-Aug,8.07,6.3
16-Jul,7.18,6
16-Jun,4.73,6.2
16-May,4.16,6
16-Apr,4.54,6
16-Mar,5.6,6.8
16-Feb,1.91,#N/A
16-Jan,2.74,#N/A
15-Dec,1.01,5.9
15-Nov,0.6,6.2
15-Oct,0.36,5.6
15-Sep,0.18,5.7
15-Aug,1.59,6.1
15-Jul,1.13,6
15-Jun,2.58,6.8
15-May,2.19,6.1
15-Apr,2.38,5.9
15-Mar,1.29,5.6
15-Feb,-0.58,#N/A
15-Jan,7.19,#N/A
14-Dec,4.28,7.9
14-Nov,4.3,7.2
14-Oct,4.27,7.7
14-Sep,5.43,8
14-Aug,3.99,6.9
14-Jul,5.54,9
14-Jun,6.79,9.2
14-May,6.8,8.8
14-Apr,5.58,8.7
14-Mar,6.42,8.8
14-Feb,9.22,#N/A
14-Jan,3.39,#N/A
13-Dec,8.72,9.7
13-Nov,8.78,10
13-Oct,9.83,10.3
13-Sep,9.93,10.2
13-Aug,11.14,10.4
13-Jul,8.63,9.7
13-Jun,6.1,8.9
13-May,4.2,9.2
13-Apr,5.31,9.3
13-Mar,4.34,8.9
13-Feb,-3.73,#N/A
13-Jan,13.93,#N/A
12-Dec,7.77,10.3
12-Nov,6.16,10.1
12-Oct,4.87,9.6
12-Sep,2.41,9.2
12-Aug,1.43,8.9
12-Jul,2.36,9.2
12-Jun,3.78,9.5
12-May,5.57,9.6
12-Apr,5.14,9.3
12-Mar,5.78,11.9
12-Feb,14.5,21.3
12-Jan,0.12,#N/A
11-Dec,10.58,12.8
11-Nov,10.06,12.4
11-Oct,11.46,13.2
11-Sep,12.61,13.8
11-Aug,10.26,13.5
11-Jul,11.64,14
11-Jun,12.44,15.1
11-May,12.09,13.3
11-Apr,12.37,13.4
11-Mar,14.14,14.8
11-Feb,14.66,14.9
11-Jan,14.48,#N/A
10-Dec,13.61,13.5
10-Nov,14.24,13.3
10-Oct,15.95,13.1
10-Sep,15.6,13.3
10-Aug,19.79,13.9
10-Jul,21.19,13.4
10-Jun,22.19,13.7
10-May,27.57,16.5
10-Apr,27.94,17.8
10-Mar,29.02,18.1
10-Feb,26.2,12.8
10-Jan,39.76,#N/A

