date,gdp,gdp_1,gdp_2,gdp_3,gdp_nlmy,gdp_gy,gdp_zzy,gdp_jzy,gdp_pfls,gdp_jt,gdp_zscy,gdp_jr,gdp_fdc,gdp_xx,gdp_zl,gdp_qt,jchbye,ccl,syyh_ldxbl,syyh_cdb,syyh_jxc,shrzgm_cl,syl,sybxj
2010/1/31,,,,,,,,,,,,,,,,,,,,,,,,
2010/2/28,,,,,,,,,,,,,,,,,,,,,,,,
2010/3/31,12.2,3.9,15.4,10,3.8,15.4,,16.1,16.2,11.6,6.2,10.2,11.2,,,6.6,20.7,1.96,41.1,,,,4.2,225
2010/4/30,,,,,,,,,,,,,,,,,,,,,,,,
2010/5/31,,,,,,,,,,,,,,,,,,,,,,,,
2010/6/30,10.8,3.6,12.8,9.6,3.6,12.8,,13.8,14,10.7,7.4,8.3,3.9,,,9,24.5,1.82,42.4,,,,4.2,221
2010/7/31,,,,,,,,,,,,,,,,,,,,,,,,
2010/8/31,,,,,,,,,,,,,,,,,,,,,,,,
2010/9/30,9.9,4.3,11.5,9.6,4.3,11.3,,12.9,14,8.8,10.4,8.6,4.7,,,8.7,20.9,1.7,42.1,,,,4.1,211
2010/10/31,,,,,,,,,,,,,,,,,,,,,,,,
2010/11/30,,,,,,,,,,,,,,,,,,,,,,,,
2010/12/31,9.9,4.7,11.6,9.5,4.7,11.3,,13.6,14.3,7,8.8,8.5,10.1,,,7.5,28.7,2,42.2,64.5,2.5,27,4.1,209
2011/1/31,,,,,,,,,,,,,,,,,,,,,,,,
2011/2/28,,,,,,,,,,,,,,,,,,,,,,,,
2011/3/31,10.2,3.1,11.3,9.9,3.3,11.5,,10.3,12.3,9.3,4.7,11.6,8.8,,,9,29,1.5,41.3,64.1,2.6,,4.1,195
2011/4/30,,,,,,,,,,,,,,,,,,,,,,,,
2011/5/31,,,,,,,,,,,,,,,,,,,,,,,,
2011/6/30,10,2.7,11,10.2,2.8,11.3,,9.7,12.2,9.3,4.9,10.4,8.6,,,10.4,32.7,0.8,42,64,2.7,,4.1,195
2011/7/31,,,,,,,,,,,,,,,,,,,,,,,,
2011/8/31,,,,,,,,,,,,,,,,,,,,,,,,
2011/9/30,9.4,4.1,10.7,9.4,4.2,11,,9.6,12.1,10.3,5.2,5,8.8,,,9.9,32.8,1.4,42.8,65.3,2.7,,4.1,199
2011/10/31,,,,,,,,,,,,,,,,,,,,,,,,
2011/11/30,,,,,,,,,,,,,,,,,,,,,,,,
2011/12/31,8.8,5.4,9.9,8.5,5.5,10.1,,9.5,13.2,9.6,5.5,3.7,3.9,,,9.1,23.2,2.3,43.2,64.9,2.7,18.2,4.1,197
2012/1/31,,,,,,,,,,,,,,,,,,,,,,,,
2012/2/29,,,,,,,,,,,,,,,,,,,,,,,,
2012/3/31,8.1,3.7,9.5,7.3,3.8,9.4,,10.2,10.1,5.7,6.2,6.8,0.6,,,8.9,17.7,2.2,45.66,64.53,2.76,,4.1,189
2012/4/30,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/31,,,,,,,,,,,,,,,,,,,,,,,,
2012/6/30,7.7,4.6,8,7.8,4.7,7.7,,9.5,9.9,6.1,6,9.3,1.9,,,8.9,12.1,2.1,46.69,64.33,2.73,,4.1,206
2012/7/31,,,,,,,,,,,,,,,,,,,,,,,,
2012/8/31,,,,,,,,,,,,,,,,,,,,,,,,
2012/9/30,7.5,4.1,7.7,8.2,4.1,7.4,,9.7,10.3,5.5,6.7,10.4,6.9,,,7.8,11.2,2.1,45.23,65.28,2.77,,4.1,208
2012/10/31,,,,,,,,,,,,,,,,,,,,,,,,
2012/11/30,,,,,,,,,,,,,,,,,,,,,,,,
2012/12/31,8.1,5,8.5,8.7,5.1,8.2,,9.7,10.8,7,6.9,11.6,9.1,,,7,12.3,3.3,45.83,65.31,2.75,19.1,4.1,204
2013/1/31,,,,,,,,,,,,,,,,,,,,,,,,
2013/2/28,,,,,,,,,,,,,,,,,,,,,,,,
2013/3/31,7.9,3,7.8,8.4,3.2,7.6,,9.9,10.1,6.4,3.4,10.9,9.8,,,7,11.9,2,45.36,64.68,2.57,,4.1,201
2013/4/30,,,,,,,,,,,,,,,,,,,,,,,,
2013/5/31,,,,,,,,,,,,,,,,,,,,,,,,
2013/6/30,7.6,2.6,7.6,8.3,2.8,7.3,,9.7,10.5,6.3,3.7,9.8,7.5,,,7.8,13,2.1,43.68,65.17,2.59,,4.1,202
2013/7/31,,,,,,,,,,,,,,,,,,,,,,,,
2013/8/31,,,,,,,,,,,,,,,,,,,,,,,,
2013/9/30,7.9,3.9,8.3,8.5,4,8.1,,10,10.5,6.9,4.1,11.1,7.1,,,7.7,11.5,2.1,42.8,65.63,2.63,,4.04,203
2013/10/31,,,,,,,,,,,,,,,,,,,,,,,,
2013/11/30,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/31,7.7,4.7,8.1,8.1,4.8,7.9,,9.3,10.9,6.8,4.3,10.5,4.8,,,7.3,7.4,2.3,44.03,66.08,2.68,17.5,4.05,197
2014/1/31,,,,,,,,,,,,,,,,,,,,,,,,
2014/2/28,,,,,,,,,,,,,,,,,,,,,,,,
2014/3/31,7.4,3.2,7.6,7.6,3.4,7.3,,9.4,10.2,6,5.6,8.6,2.6,,,8.1,8.3,1.8,46.29,65.89,2.58,,4.08,202
2014/4/30,,,,,,,,,,,,,,,,,,,,,,,,
2014/5/31,,,,,,,,,,,,,,,,,,,,,,,,
2014/6/30,7.5,4,7.8,7.6,4.1,7.5,,9.5,9.9,6.8,6,7.7,2.4,,,8.5,8.6,1.7,47.52,65.4,2.62,,4.08,207
2014/7/31,,,,,,,,,,,,,,,,,,,,,,,,
2014/8/31,,,,,,,,,,,,,,,,,,,,,,,,
2014/9/30,7.1,4.6,7.3,7.5,4.7,6.9,,9,9.6,6.2,5.7,9.1,1.3,,,8.6,8.4,2.3,48.53,64.17,2.68,,4.07,209
2014/10/31,,,,,,,,,,,,,,,,,,,,,,,,
2014/11/30,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/31,7.2,3.9,7,8.4,4.1,6.6,,8.7,9.3,6.9,5.8,14.4,1.9,,,8.8,8.5,2.7,46.44,65.09,2.7,14.3,4.09,207
2015/1/31,,,,,,,,,,,,,,,,,,,,,,,,
2015/2/28,,,,,,,,,,,,,,,,,,,,,,,,
2015/3/31,7,3.1,6.4,7.8,3.3,6.1,7,8.7,6.1,4.8,5.7,15.3,0.7,12.9,7.6,8.3,7.7,2.3,47.46,65.67,2.53,13,4.05,215
2015/4/30,,,,,,,,,,,,,,,,,,,,,,,,
2015/5/31,,,,,,,,,,,,,,,,,,,,,,,,
2015/6/30,7,3.7,6.2,8.4,3.8,6.2,7,5.9,5.8,3.5,5.8,18.8,4.2,13.7,8.3,7.7,3.2,2.5,46.18,65.8,2.51,11.9,4.04,221
2015/7/31,,,,,,,,,,,,,,,,,,,,,,,,
2015/8/31,,,,,,,,,,,,,,,,,,,,,,,,
2015/9/30,6.9,4.1,6,8.4,4.3,5.9,6.7,5.9,6.1,4.1,6.6,16,4.5,14.6,8.9,8.7,-1.75,1.9,46.16,66.39,2.53,12.5,4.05,227
2015/10/31,,,,,,,,,,,,,,,,,,,,,,,,
2015/11/30,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/31,6.8,4.1,6.3,8.2,4.2,6,7,7.4,6.4,3.9,6.6,14.2,3.3,18,11.8,8.1,-6,2.1,48.01,67.24,2.54,12.4,4.05,227
2016/1/31,,,,,,,,,,,,,,,,,,,,,,13.1,,
2016/2/29,,,,,,,,,,,,,,,,,,,,,,12.7,,
2016/3/31,6.7,2.9,6,7.5,3.1,5.7,6.2,8.4,6.2,3.4,7.5,7,9.1,17.3,9.6,7.2,-4.39,2,48.08,67.01,2.35,13.4,4.04,231
2016/4/30,,,,,,,,,,,,,,,,,,,,,,13.1,,
2016/5/31,,,,,,,,,,,,,,,,,,,,,,12.6,,
2016/6/30,6.7,3.1,6.4,7.4,3.3,6,7,8,7,5.8,7.3,4.1,8.9,16.6,10.8,7.5,-1.3,2.1,48.14,67.22,2.27,12.4,4.05,237
2016/7/31,,,,,,,,,,,,,,,,,,,,,,12.2,,
2016/8/31,,,,,,,,,,,,,,,,,,,,,,12.3,,
2016/9/30,6.7,4,6.3,7.6,4.1,6.1,6.8,6.7,7.5,6.7,7,4.4,8.9,19.1,9.5,7,2.4,1.7,46.93,67.27,2.24,12.5,4.04,238
2016/10/31,,,,,,,,,,,,,,,,,,,,,,12.7,,
2016/11/30,,,,,,,,,,,,,,,,,,,,,,13.3,,
2016/12/31,6.8,2.9,6.3,8.2,3.1,6.1,6.7,6.5,7.7,9.9,7.7,2.6,7.8,19.6,13.9,8.5,10.2,2.4,47.55,67.61,2.22,12.8,4.02,230
2017/1/31,,,,,,,,,,,,,,,,,,,,,,14.864146,,
2017/2/28,,,,,,,,,,,,,,,,,,,,,,14.82022,,
2017/3/31,6.8,3,6.2,7.7,3.2,6.3,7.1,4.4,7.6,9.1,8,4.1,8.6,15.9,9.2,7.2,6.71,1.3,48.74,67.74,2.03,14.45563,3.97,230
2017/4/30,,,,,,,,,,,,,,,,,,,,,,14.58547,,
2017/5/31,,,,,,,,,,,,,,,,,,,,,,14.695138,,
2017/6/30,6.8,3.8,6.3,7.7,3.9,6.5,7.2,4.6,7.4,10.1,7.7,3.3,7.2,18.8,8.3,7.6,5.19,1.4,49.52,69.12,2.05,14.287006,3.95,230
2017/7/31,,,,,,,,,,,,,,,,,,,,,,14.806784,,
2017/8/31,,,,,,,,,,,,,,,,,,,,,,14.572688,,
2017/9/30,6.7,3.9,5.8,8.1,4,6.2,7.1,3.4,7.4,9.5,7.8,6.1,4.8,23.4,10.8,7.4,5.15,1.3,49.17,70.01,2.07,14.466426,3.95,228
2017/10/31,,,,,,,,,,,,,,,,,,,,,,14.44581,,
2017/11/30,,,,,,,,,,,,,,,,,,,,,,14.016289,,
2017/12/31,6.7,4.4,5.5,8.2,4.5,6.1,6.9,2.5,7.2,8.8,7.7,4.1,5.9,29,10.7,7.4,4.21,2.1,50.03,70.55,2.1,13.526595,3.9,220
2018/1/31,,,,,,,,,,,,,,,,,,,,,,12.860726,,
2018/2/28,,,,,,,,,,,,,,,,,,,,,,12.797033,,
2018/3/31,6.8,3.2,6.3,7.5,3.4,6.5,6.7,5.4,6.8,7.7,7.1,3.1,4.9,29.2,10,6.1,6.29,1.3,51.39,71.18,2.08,12.054937,3.89,223
2018/4/30,,,,,,,,,,,,,,,,,,,,,,12.014427,,
2018/5/31,,,,,,,,,,,,,,,,,,,,,,11.71234,,
2018/6/30,6.7,3.4,6,7.7,3.6,6.4,6.6,4,6.6,8.1,6.8,4.3,4.2,31.7,9.4,5.7,4.839036,1.7,52.42,72.3,2.12,11.208079,3.83,225
2018/7/31,,,,,,,,,,,,,,,,,,,,,,10.944145,,
2018/8/31,,,,,,,,,,,,,,,,,,,,,,10.884365,,
2018/9/30,6.5,3.6,5.3,7.9,3.8,5.9,6,2.5,6.2,8,6.3,4,4.1,32.8,9,7,3.879882,1.5,52.94,73.55,2.15,10.636091,3.82,224
2018/10/31,,,,,,,,,,,,,,,,,,,,,,10.275382,,
2018/11/30,,,,,,,,,,,,,,,,,,,,,,9.958926,,
2018/12/31,6.4,3.5,5.8,7.4,3.7,5.7,5.7,6.1,5.5,8.7,5.8,6.3,2,29.1,7.3,6.4,2.822796,2.4,55.31,74.34,2.18,9.854872,3.8,223
2019/1/31,,,,,,,,,,,,,,,,,,,,,,10.49293,,
2019/2/28,,,,,,,,,,,,,,,,,,,,,,10.13065,,
2019/3/31,6.4,2.7,6.1,7,2.9,6.1,6.5,6.2,5.8,7.3,6,7,2.5,21.2,8.3,5.2,-5.489068,1.3,56.81,72.22,2.17,10.7344,3.67,227
2019/4/30,,,,,,,,,,,,,,,,,,,,,,10.45577,,
2019/5/31,,,,,,,,,,,,,,,,,,,,,,10.66699,,
2019/6/30,6.2,3.3,5.6,7,3.4,5.6,5.5,5.1,6,7.3,6.4,7.6,2.4,20.1,7.3,5.5,-1.690957,2,55.77,72.85,2.18,11.00281,3.61,230
2019/7/31,,,,,,,,,,,,,,,,,,,,,,10.86262,,
2019/8/31,,,,,,,,,,,,,,,,,,,,,,10.83105,,
2019/9/30,6,2.7,5.2,7.2,2.9,5,4.8,6.1,5.5,7.5,6.7,6.9,4.2,18,8.4,6.3,-3.79,,,,,10.8,,
